6142;SERPINB7;serpin family B member 7
6182;TNFRSF14;TNF receptor superfamily member 14
6184;RIPK2;receptor interacting serine/threonine kinase 2
6203;TNFRSF11A;TNF receptor superfamily member 11a
6217;IL18RAP;interleukin 18 receptor accessory protein
6219;IL18R1;interleukin 18 receptor 1
6311;HERC2;HECT and RLD domain containing E3 ubiquitin protein ligase 2
6315;FOXH1;forkhead box H1
6343;TRPA1;transient receptor potential cation channel subfamily A member 1
6481;IL1RL1;interleukin 1 receptor like 1
6495;SLC16A7;solute carrier family 16 member 7
6657;FADS2;fatty acid desaturase 2
6682;MAP4K4;mitogen-activated protein kinase kinase kinase kinase 4
6701;AKAP6;A-kinase anchoring protein 6
6703;ATG5;autophagy related 5
6726;ADAMTS4;ADAM metallopeptidase with thrombospondin type 1 motif 4
6753;PTGES;prostaglandin E synthase
6762;CXCL14;C-X-C motif chemokine ligand 14
6826;SEC24C;SEC24 homolog C, COPII coat complex component
6836;SH3PXD2A;SH3 and PX domains 2A
6852;LPIN2;lipin 2
6856;ZNF432;zinc finger protein 432
6873;GREB1;growth regulating estrogen receptor binding 1
6877;PRORP;protein only RNase P catalytic subunit
6930;RIPOR2;RHO family interacting cell polarization regulator 2
7006;TESPA1;thymocyte expressed, positive selection associated 1
7025;MED24;mediator complex subunit 24
7038;ZBTB39;zinc finger and BTB domain containing 39
7113;TNFSF15;TNF superfamily member 15
7228;RAD50;RAD50 double strand break repair protein
7296;PRMT3;protein arginine methyltransferase 3
7395;CCNO;cyclin O
7402;TNIP1;TNFAIP3 interacting protein 1
7415;TLR6;toll like receptor 6
7416;MRVI1;murine retrovirus integration site 1 homolog
7421;CCL26;C-C motif chemokine ligand 26
7452;NOD1;nucleotide binding oligomerization domain containing 1
7475;PRMT5;protein arginine methyltransferase 5
7501;VAV3;vav guanine nucleotide exchange factor 3
7545;CARM1;coactivator associated arginine methyltransferase 1
7679;TSBP1;testis expressed basic protein 1
7768;CYSLTR1;cysteinyl leukotriene receptor 1
7770;CCR9;C-C motif chemokine receptor 9
7847;UTS2;urotensin 2
7926;SPINK5;serine peptidase inhibitor Kazal type 5
7942;TDRKH;tudor and KH domain containing
8016;FGFR1OP;FGFR1 oncogene partner
8025;KIF3A;kinesin family member 3A
8089;POLI;DNA polymerase iota
8093;IRAK3;interleukin 1 receptor associated kinase 3
8120;PTGDR2;prostaglandin D2 receptor 2
8192;IKZF3;IKAROS family zinc finger 3
8208;ZNF652;zinc finger protein 652
8249;CLSTN1;calsyntenin 1
8256;ZNF365;zinc finger protein 365
8267;SBNO2;strawberry notch homolog 2
8462;SEPTIN8;septin 8
8477;FBXL7;F-box and leucine rich repeat protein 7
8512;SIK2;salt inducible kinase 2
8545;CLEC16A;C-type lectin domain containing 16A
8569;ICOSLG;inducible T cell costimulator ligand
8584;NEDD4L;NEDD4 like E3 ubiquitin protein ligase
8588;CLASP1;cytoplasmic linker associated protein 1
8630;SIK3;SIK family kinase 3
8652;ZFPM2;zinc finger protein, FOG family member 2
8656;CRB1;crumbs cell polarity complex component 1
8782;OPN3;opsin 3
8811;LRRC6;leucine rich repeat containing 6
